Instrução|Entrada|Saída Esperada
Associe um animal ao seu som característico.|Qual som o(a) gato faz?|O(A) gato faz 'miau'!
Auxilie na formação de sílabas simples.|Como fica a letra 's' com a letra 'a'?|Juntando 's' com 'a' formamos a sílaba 'sa'.
Auxilie na formação de sílabas simples.|Como fica a letra 'l' com a letra 'a'?|Juntando 'l' com 'a' formamos a sílaba 'la'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Sofia?|Você pode chegar perto e dizer: 'Oi, tudo bem? Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 's' com a letra 'e'?|Juntando 's' com 'e' formamos a sílaba 'se'.
Auxilie na formação de sílabas simples.|Como fica a letra 'b' com a letra 'i'?|Juntando 'b' com 'i' formamos a sílaba 'bi'.
Ofereça uma estratégia para lidar com a frustração.|Eu meu desenho não ficou como eu queria!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar ouvir uma música tranquila para nos acalmar.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Leo?|Você pode chegar perto e dizer: 'Boa tarde! Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 'c' com a letra 'a'?|Juntando 'c' com 'a' formamos a sílaba 'ca'.
Motive o compartilhamento de brinquedos.|O(A) Sofia quer brincar com a minha quebra-cabeça.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'd' com a letra 'i'?|Juntando 'd' com 'i' formamos a sílaba 'di'.
Motive o compartilhamento de brinquedos.|O(A) Lucas quer brincar com a minha videogame.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Ofereça uma estratégia para lidar com a frustração.|Eu perdi no jogo!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar pedir um abraço para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'l' com a letra 'o'?|Juntando 'l' com 'o' formamos a sílaba 'lo'.
Ofereça uma estratégia para lidar com a frustração.|Eu meu desenho não ficou como eu queria!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar pedir um abraço para nos acalmar.
Motive o compartilhamento de brinquedos.|O(A) Sofia quer brincar com a minha massinha.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Ofereça uma estratégia para lidar com a frustração.|Eu a torre de blocos caiu!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar pedir um abraço para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'l' com a letra 'e'?|Juntando 'l' com 'e' formamos a sílaba 'le'.
Auxilie na formação de sílabas simples.|Como fica a letra 'g' com a letra 'a'?|Juntando 'g' com 'a' formamos a sílaba 'ga'.
Motive o compartilhamento de brinquedos.|O(A) Júlia quer brincar com a minha bola.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Motive o compartilhamento de brinquedos.|O(A) Leo quer brincar com a minha massinha.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'p' com a letra 'e'?|Juntando 'p' com 'e' formamos a sílaba 'pe'.
Auxilie na formação de sílabas simples.|Como fica a letra 'j' com a letra 'u'?|Juntando 'j' com 'u' formamos a sílaba 'ju'.
Lembre sobre uma tarefa importante da rotina da noite.|Estou com sono...|Eu sei, mas antes de dormir, precisamos colocar o pijama. É rapidinho!
Motive o compartilhamento de brinquedos.|O(A) Júlia quer brincar com a minha livro de colorir.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Incentive a organização dos pertences.|Terminei de brincar.|Legal! Agora é hora de guardar os livros de história no lugar certo.
Oriente sobre a próxima tarefa da rotina da manhã.|Já acordei. E agora?|Que ótimo! O próximo passo da nossa rotina é arrumar a cama. Vamos lá?
Lembre sobre uma tarefa importante da rotina da noite.|Estou com sono...|Eu sei, mas antes de dormir, precisamos escovar os dentes. É rapidinho!
Ofereça uma estratégia para lidar com a frustração.|Eu a torre de blocos caiu!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar apertar uma almofada para nos acalmar.
Lembre sobre uma tarefa importante da rotina da noite.|Estou com sono...|Eu sei, mas antes de dormir, precisamos dar boa noite. É rapidinho!
Ofereça uma estratégia para lidar com a frustração.|Eu perdi no jogo!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar ouvir uma música tranquila para nos acalmar.
Incentive a organização dos pertences.|Terminei de brincar.|Legal! Agora é hora de guardar os carrinhos no lugar certo.
Auxilie na formação de sílabas simples.|Como fica a letra 'l' com a letra 'u'?|Juntando 'l' com 'u' formamos a sílaba 'lu'.
Ofereça uma estratégia para lidar com a frustração.|Eu não consigo montar o lego!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar ouvir uma música tranquila para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'f' com a letra 'o'?|Juntando 'f' com 'o' formamos a sílaba 'fo'.
Ofereça uma estratégia para lidar com a frustração.|Eu meu desenho não ficou como eu queria!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar respirar fundo três vezes para nos acalmar.
Ofereça uma estratégia para lidar com a frustração.|Eu não consigo montar o lego!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar pedir um abraço para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'p' com a letra 'a'?|Juntando 'p' com 'a' formamos a sílaba 'pa'.
